LOAD_ZONE	TIMEPOINT	lz_demand_mw
01-hermosillo	1	509.1349552
01-hermosillo	2	505.6202402
01-hermosillo	3	555.9566837
01-hermosillo	4	586.5638851
02-cananea	1	130.3752763
02-cananea	2	129.4752557
02-cananea	3	142.3650164
02-cananea	4	150.2026679
03-obregon	1	262.7973033
03-obregon	2	260.9831328
03-obregon	3	286.9650095
03-obregon	4	302.7633551
04-los_mochis	1	211.1359822
04-los_mochis	2	209.6784457
04-los_mochis	3	230.552743
04-los_mochis	4	243.2454121
05-culiacan	1	250.9264142
05-culiacan	2	249.194192
05-culiacan	3	274.0024342
05-culiacan	4	289.0871484
06-mazatlan	1	127.4614233
06-mazatlan	2	126.581518
06-mazatlan	3	139.1831959
06-mazatlan	4	146.8456779
07-juarez	1	398.4360101
07-juarez	2	404.6801795
07-juarez	3	453.0079427
07-juarez	4	484.775098
08-moctezuma	1	215.8128785
08-moctezuma	2	219.1950331
08-moctezuma	3	245.3717677
08-moctezuma	4	262.5784484
09-chihuahua	1	747.7055293
09-chihuahua	2	759.4233455
09-chihuahua	3	850.1152882
09-chihuahua	4	909.7295726
10-durango	1	176.0666503
10-durango	2	178.8259139
10-durango	3	200.1816828
10-durango	4	214.2194115
11-laguna	1	513.3257675
11-laguna	2	521.3704545
11-laguna	3	583.6336173
11-laguna	4	624.5608903
12-rio_escondido	1	209.7593043
12-rio_escondido	2	206.5009577
12-rio_escondido	3	226.5484528
12-rio_escondido	4	236.5009432
13-nuevo_laredo	1	178.4343544
13-nuevo_laredo	2	175.6626014
13-nuevo_laredo	3	192.7162519
13-nuevo_laredo	4	201.1824612
14-reynosa	1	393.0034183
14-reynosa	2	386.8986052
14-reynosa	3	424.4594379
14-reynosa	4	443.1063471
15-matamoros	1	216.8160078
15-matamoros	2	213.4480442
15-matamoros	3	234.1699753
15-matamoros	4	244.4572864
16-monterrey	1	2531.507068
16-monterrey	2	2492.183293
16-monterrey	3	2734.129061
16-monterrey	4	2854.241966
17-saltillo	1	687.0373089
17-saltillo	2	676.3650496
17-saltillo	3	742.0278205
17-saltillo	4	774.6258127
18-valles	1	176.0854381
18-valles	2	173.3501726
18-valles	3	190.1793282
18-valles	4	198.5340881
19-huasteca	1	373.9211775
19-huasteca	2	368.112783
19-huasteca	3	403.8498532
19-huasteca	4	421.5913638
20-tamazunchale	1	105.4794612
20-tamazunchale	2	103.8409706
20-tamazunchale	3	113.9220442
20-tamazunchale	4	118.9267486
21-guemez	1	125.2540144
21-guemez	2	123.308351
21-guemez	3	135.279354
21-guemez	4	141.2223054
22-tepic	1	273.5954904
22-tepic	2	283.5101271
22-tepic	3	334.4997655
22-tepic	4	340.8951017
23-guadalajara	1	1379.091263
23-guadalajara	2	1429.067192
23-guadalajara	3	1686.086651
